student_id,akt_kode,fortolket_res,termin,belastning
8725,22236,ikke bestået,F20,5
8725,28855,bestået,F20,5
8725,S22-10-1,bestået,F20,10
8725,27322,bestået,F19,10
8725,27641,bestået,E19,5
8725,27419,bestået,F20,5
8725,22110,ikke bestået,F20,10
8725,22110,forsøg,E19,10
8725,S22-05-1,bestået,F20,5
8725,27324,bestået,F19,5
8725,27423,bestået,E19,5
8722,23259,bestået,F20,5
8722,S23-05-3,bestået,E19,5
8722,S23-15-1,bestået,F20,15
8720,27430,bestået,E18,5
8720,23532,bestået,F19,5
8720,27220,bestået,F19,5
8720,27412,bestået,E18,5
8720,27246,bestået,E19,5
8720,27460,bestået,E19,5
8720,27422,bestået,F19,5
8720,27247,bestået,E19,5
8720,27230,bestået,E18,5
8720,23531,bestået,F20,5
8720,27419,bestået,F19,5
8720,27405,bestået,E18,10
8720,S27-05-1,bestået,F19,5
8718,22230,bestået,F20,5
8718,27220,bestået,F20,5
8718,27322,bestået,F20,10
8718,27422,bestået,F20,5
8718,42429,bestået,F20,5
8717,27430,bestået,E19,5
8717,22230,bestået,F20,5
8717,28855,bestået,F20,5
8717,27102,bestået,F20,5
8717,27220,bestået,F20,5
8717,27322,bestået,F20,10
8717,27250,bestået,E19,5
8717,28480,bestået,E19,10
8717,23205,bestået,E19,5
8717,27423,bestået,E19,5
8716,23532,bestået,F20,5
8716,23259,bestået,F20,5
8716,27460,bestået,E19,5
8716,27422,bestået,F20,5
8716,27230,bestået,E19,5
8716,27419,bestået,F20,5
8716,27255,bestået,F20,5
8716,2411,bestået,E19,5
8716,28480,bestået,E19,10
8716,27423,bestået,E19,5
8716,27455,bestået,F20,5
8715,27430,bestået,E19,5
8715,28855,bestået,F20,5
8715,27220,bestået,F20,5
8715,27460,bestået,E19,5
8715,27322,bestået,F20,10
8715,27255,bestået,F20,5
8715,27250,bestået,E19,5
8715,28480,bestået,E19,10
8715,23205,bestået,E19,5
8713,28855,bestået,F20,5
8713,27303,bestået,E19,5
8713,27246,bestået,E19,5
8713,23258,bestået,F19,5
8713,27322,bestået,F19,10
8713,27230,forsøg,E19,5
8713,27230,ikke bestået,F20,5
8713,27419,ikke bestået,F20,5
8713,28480,bestået,E19,10
8713,27324,bestået,F19,5
8713,S27-05-1,bestået,F19,5
8712,27430,bestået,E19,5
